[00:00:00.004] (3a74) INFO   Triggers: ["w", "a", "s", "d", "leftbutton", "rightbutton", "leftshift"]
[00:00:00.299] (3a74) INFO   Created render pipeline Valid((0, 1, Gl)) with RenderPipelineDescriptor { label: Some("pixels_scaling_renderer_pipeline"), layout: Some((0, 1, Gl)), vertex: VertexState { stage: ProgrammableStageDescriptor { module: (0, 1, Gl), entry_point: "vs_main" }, buffers: [VertexBufferLayout { array_stride: 8, step_mode: Vertex, attributes: [VertexAttribute { format: Float32x2, offset: 0, shader_location: 0 }] }] }, primitive: PrimitiveState { topology: TriangleList, strip_index_format: None, front_face: Ccw, cull_mode: None, unclipped_depth: false, polygon_mode: Fill, conservative: false }, depth_stencil: None, multisample: MultisampleState { count: 1, mask: 18446744073709551615, alpha_to_coverage_enabled: false }, fragment: Some(FragmentState { stage: ProgrammableStageDescriptor { module: (0, 1, Gl), entry_point: "fs_main" }, targets: [Some(ColorTargetState { format: Rgba8UnormSrgb, blend: Some(BlendState { color: BlendComponent { src_factor: One, dst_factor: OneMinusSrcAlpha, operation: Add }, alpha: BlendComponent { src_factor: One, dst_factor: OneMinusSrcAlpha, operation: Add } }), write_mask: ColorWrites(RED | GREEN | BLUE | ALPHA) })] }), multiview: None }
[00:00:00.395] (3a74) INFO   configuring surface with SurfaceConfiguration { usage: TextureUsages(RENDER_ATTACHMENT), format: Rgba8UnormSrgb, width: 1920, height: 1080, present_mode: AutoVsync, alpha_mode: Opaque, view_formats: [] }
[00:00:00.395] (3a74) INFO   Automatically choosing presentation mode by rule AutoVsync. Chose Fifo
[00:00:00.397] (3a74) INFO   configuring surface with SurfaceConfiguration { usage: TextureUsages(RENDER_ATTACHMENT), format: Rgba8UnormSrgb, width: 1424, height: 714, present_mode: AutoVsync, alpha_mode: Opaque, view_formats: [] }
[00:00:00.397] (3a74) INFO   Automatically choosing presentation mode by rule AutoVsync. Chose Fifo
[00:00:00.397] (3a74) INFO   configuring surface with SurfaceConfiguration { usage: TextureUsages(RENDER_ATTACHMENT), format: Rgba8UnormSrgb, width: 1440, height: 753, present_mode: AutoVsync, alpha_mode: Opaque, view_formats: [] }
[00:00:00.397] (3a74) INFO   Automatically choosing presentation mode by rule AutoVsync. Chose Fifo
[00:00:00.398] (3a74) INFO   configuring surface with SurfaceConfiguration { usage: TextureUsages(RENDER_ATTACHMENT), format: Rgba8UnormSrgb, width: 800, height: 600, present_mode: AutoVsync, alpha_mode: Opaque, view_formats: [] }
[00:00:00.398] (3a74) INFO   Automatically choosing presentation mode by rule AutoVsync. Chose Fifo
[00:00:00.398] (3a74) INFO   configuring surface with SurfaceConfiguration { usage: TextureUsages(RENDER_ATTACHMENT), format: Rgba8UnormSrgb, width: 800, height: 600, present_mode: AutoVsync, alpha_mode: Opaque, view_formats: [] }
[00:00:00.398] (3a74) INFO   Automatically choosing presentation mode by rule AutoVsync. Chose Fifo
[00:00:00.399] (3a74) INFO   configuring surface with SurfaceConfiguration { usage: TextureUsages(RENDER_ATTACHMENT), format: Rgba8UnormSrgb, width: 1920, height: 1080, present_mode: AutoVsync, alpha_mode: Opaque, view_formats: [] }
[00:00:00.399] (3a74) INFO   Automatically choosing presentation mode by rule AutoVsync. Chose Fifo
[00:00:16.417] (3a74) INFO   Dropping Global
[00:00:16.432] (3a74) INFO   Destroying 3 command encoders
